,Date,Price
0,2021-04-24,51096.0605164903
1,2021-04-25,52183.70478734794
2,2021-04-26,51106.82420875326
3,2021-04-27,51057.72884549197
4,2021-04-28,50372.42692691768
5,2021-04-29,50312.77830005545
6,2021-04-30,51057.72884549197
7,2021-05-01,51096.0605164903
8,2021-05-02,51096.0605164903
9,2021-05-03,52162.32167737693
10,2021-05-04,52162.32167737693
11,2021-05-05,52243.13699314529
12,2021-05-06,53068.900747241496
13,2021-05-07,53068.900747241496
14,2021-05-08,52750.360030321164
15,2021-05-09,55031.9895905594
16,2021-05-10,55441.27868244373
17,2021-05-11,55175.0998530674
18,2021-05-12,53664.23864869278
19,2021-05-13,53711.93528231167
20,2021-05-14,50601.313074490725
21,2021-05-15,51057.72884549197
22,2021-05-16,51096.0605164903
23,2021-05-17,51096.0605164903
24,2021-05-18,51096.0605164903
25,2021-05-19,51096.0605164903
26,2021-05-20,51096.0605164903
27,2021-05-21,51096.0605164903
28,2021-05-22,51096.0605164903
29,2021-05-23,51096.0605164903
30,2021-05-24,51096.0605164903
31,2021-05-25,50667.135238293115
32,2021-05-26,52162.32167737693
33,2021-05-27,52162.32167737693
34,2021-05-28,51865.762992159864
35,2021-05-29,53305.38816166691
36,2021-05-30,52441.538264036186
37,2021-05-31,52274.435140953465
38,2021-06-01,52274.874312905726
39,2021-06-02,51838.99803605738
40,2021-06-03,51838.99803605738
41,2021-06-04,51096.0605164903
42,2021-06-05,51096.0605164903
43,2021-06-06,51058.14527430142
44,2021-06-07,51058.14527430142
45,2021-06-08,50852.56463298421
46,2021-06-09,51043.92092056327
47,2021-06-10,50587.53489447699
48,2021-06-11,51096.0605164903
49,2021-06-12,51096.0605164903
50,2021-06-13,51096.0605164903
51,2021-06-14,50852.56463298421
52,2021-06-15,50759.163892664554
53,2021-06-16,51057.72884549197
54,2021-06-17,52162.32167737693
55,2021-06-18,51838.99803605738
56,2021-06-19,51844.37988218886
57,2021-06-20,52219.7171802565
58,2021-06-21,52243.13699314529
59,2021-06-22,52243.13699314529
60,2021-06-23,52360.21698101111
61,2021-06-24,59333.42295245807
62,2021-06-25,59569.360984172985
63,2021-06-26,59763.63998825706
64,2021-06-27,59854.47677186852
65,2021-06-28,59855.5875864596
66,2021-06-29,59766.620990958145
67,2021-06-30,59771.50833939715
68,2021-07-01,59855.5875864596
69,2021-07-02,59855.5875864596
70,2021-07-03,59855.64470919396
71,2021-07-04,59763.63998825706
72,2021-07-05,59854.47677186852
73,2021-07-06,59800.44059713051
74,2021-07-07,59855.64470919396
75,2021-07-08,59855.5875864596
76,2021-07-09,59855.5875864596
77,2021-07-10,59855.5875864596
78,2021-07-11,59766.620990958145
79,2021-07-12,59766.620990958145
80,2021-07-13,59794.158149162045
81,2021-07-14,59855.5875864596
82,2021-07-15,59905.85152281306
83,2021-07-16,59912.1215538923
84,2021-07-17,59912.1215538923
85,2021-07-18,59912.70664253678
86,2021-07-19,59912.70664253678
87,2021-07-20,59912.70664253678
88,2021-07-21,60002.51321641754
89,2021-07-22,60002.51321641754
90,2021-07-23,60002.51321641754
91,2021-07-24,59953.17659559587
92,2021-07-25,60341.90465070391
