,Date,Price
0,2021-04-24,42956.43
1,2021-04-25,43645.26
2,2021-04-26,42393.02
3,2021-04-27,42311.29
4,2021-04-28,40639.95
5,2021-04-29,42161.36
6,2021-04-30,42351.73
7,2021-05-01,42117.04
8,2021-05-02,42514.54
9,2021-05-03,43207.64
10,2021-05-04,43583.39
11,2021-05-05,43705.42
12,2021-05-06,44323.02
13,2021-05-07,43935.54
14,2021-05-08,44331.58
15,2021-05-09,44850.47
16,2021-05-10,45167.71
17,2021-05-11,44510.8
18,2021-05-12,44306.12
19,2021-05-13,42213.17
20,2021-05-14,42570.53
21,2021-05-15,42245.52
22,2021-05-16,43185.54
23,2021-05-17,42516.18
24,2021-05-18,42863.7
25,2021-05-19,42694.54
26,2021-05-20,42450.08
27,2021-05-21,42701.76
28,2021-05-22,42891.65
29,2021-05-23,42212.34
30,2021-05-24,42088.34
31,2021-05-25,43180.26
32,2021-05-26,43430.46
33,2021-05-27,43349.14
34,2021-05-28,43087.02
35,2021-05-29,44262.69
36,2021-05-30,43882.54
37,2021-05-31,43890.94
38,2021-06-01,43218.75
39,2021-06-02,43088.97
40,2021-06-03,43312.49
41,2021-06-04,42465.98
42,2021-06-05,42309.73
43,2021-06-06,41943.49
44,2021-06-07,41669.46
45,2021-06-08,41761.56
46,2021-06-09,41754.66
47,2021-06-10,41876.59
48,2021-06-11,42426.58
49,2021-06-12,42560.12
50,2021-06-13,42322.15
51,2021-06-14,41353.69
52,2021-06-15,41537.91
53,2021-06-16,43263.47
54,2021-06-17,43542.51
55,2021-06-18,43009.1
56,2021-06-19,43072.11
57,2021-06-20,44160.4
58,2021-06-21,43851.27
59,2021-06-22,43423.92
60,2021-06-23,44097.63
61,2021-06-24,47572.93
62,2021-06-25,47030.86
63,2021-06-26,47815.88
64,2021-06-27,48084.33
65,2021-06-28,47814.76
66,2021-06-29,47823.17
67,2021-06-30,47723.98
68,2021-07-01,48172.78
69,2021-07-02,47963.27
70,2021-07-03,48222.55
71,2021-07-04,47696.35
72,2021-07-05,48115.35
73,2021-07-06,47895.1
74,2021-07-07,48051.37
75,2021-07-08,48844.61
76,2021-07-09,48004.65
77,2021-07-10,47808.09
78,2021-07-11,47834.88
79,2021-07-12,47725.2
80,2021-07-13,47227.38
81,2021-07-14,49470.21
82,2021-07-15,49102.76
83,2021-07-16,49430.24
84,2021-07-17,49420.46
85,2021-07-18,50065.74
86,2021-07-19,49931.83
87,2021-07-20,50677.85
88,2021-07-21,51463.77
89,2021-07-22,51614.09
90,2021-07-23,51646.45
91,2021-07-24,51365.48
92,2021-07-25,54394.56
93,2021-07-26,54617.33
94,2021-07-27,55292.03
95,2021-07-28,55148.01
96,2021-07-29,54575.27
97,2021-07-30,54040.9
98,2021-07-31,53701.38
99,2021-08-01,54024.8
100,2021-08-02,54006.7
101,2021-08-03,53906.81
102,2021-08-04,54194.73
103,2021-08-05,55568.87
104,2021-08-06,54691.53
105,2021-08-07,54634.88
106,2021-08-08,54165.9
107,2021-08-09,54249.4
108,2021-08-10,54888.66
109,2021-08-11,54938.96
110,2021-08-12,55168.55
111,2021-08-13,55036.2
112,2021-08-14,55027.35
113,2021-08-15,54913.69
114,2021-08-16,55666.75
115,2021-08-17,55048.38
116,2021-08-18,55264.18
117,2021-08-19,55471.62
118,2021-08-20,54957.56
119,2021-08-21,56184.63
120,2021-08-22,56744.81
121,2021-08-23,56376.75
122,2021-08-24,57606.87
123,2021-08-25,57509.92
124,2021-08-26,57432.42
125,2021-08-27,56852.74
126,2021-08-28,57512.61
127,2021-08-29,57382.85
128,2021-08-30,56526.06
129,2021-08-31,55757.82
130,2021-09-01,56497.0
131,2021-09-02,56542.51
132,2021-09-03,55356.83
133,2021-09-04,54809.65
134,2021-09-05,56067.62
135,2021-09-06,57146.51
136,2021-09-07,57581.79
137,2021-09-08,58284.47
138,2021-09-09,57742.03
139,2021-09-10,57902.46
140,2021-09-11,57522.17
141,2021-09-12,58495.34
142,2021-09-13,57738.82
143,2021-09-14,59396.0
144,2021-09-15,59809.6
145,2021-09-16,59279.81
146,2021-09-17,60158.81
147,2021-09-18,61654.93
148,2021-09-19,61547.95
149,2021-09-20,61854.98
150,2021-09-21,62132.96
151,2021-09-22,61745.84
152,2021-09-23,61047.17
153,2021-09-24,61319.38
154,2021-09-25,61236.61
155,2021-09-26,61354.59
156,2021-09-27,61048.96
157,2021-09-28,61434.5
158,2021-09-29,61178.15
159,2021-09-30,61045.25
160,2021-10-01,61318.49
161,2021-10-02,62268.05
162,2021-10-03,62794.04
163,2021-10-04,61548.51
164,2021-10-05,62300.32
165,2021-10-06,61912.2
166,2021-10-07,62141.18
167,2021-10-08,61841.61
168,2021-10-09,62219.61
169,2021-10-10,62247.9
170,2021-10-11,62986.53
171,2021-10-12,63582.74
172,2021-10-13,64051.9
173,2021-10-14,63888.87
174,2021-10-15,63753.9
175,2021-10-16,63830.57
176,2021-10-17,67118.89
177,2021-10-18,66879.03
178,2021-10-19,66138.37
179,2021-10-20,65388.46
180,2021-10-21,65311.71
